variant,BTC-USD,DOGE-USD,ETH-USD,SOL-USD,XRP-USD
A_full_original,-47.865265216085376,-17.414956854847784,-32.80274219439027,-27.10955558315652,-25.366681728022154
B_breakout_only,-90.33753421703108,-71.21032082843554,-79.85547075571182,-66.91413437406158,-80.07445579725906
C_breakout_asset_trend,-74.53548065641516,-38.245510681085,-60.77281953094058,-39.670049595314524,-47.108223233987225
D_breakout_btc_filter,-85.66956864928179,-66.8125641867896,-74.30361185358868,-56.495403596073345,-68.33048487725722
E_breakout_volatility,-71.06590987100351,-48.415937073003676,-58.26127921675792,-42.407107250108965,-59.52174519480782
F_breakout_volume,-90.46771713692358,-69.87930772884157,-76.83411464336342,-64.77717380153017,-76.55799132539859
G_breakout_trend_btc,-74.53548065641516,-38.983321348701836,-58.097922955891626,-37.348858150619236,-40.91054805034322
H_full_without_volatility,-72.84561691528211,-35.72640298463426,-54.89601230892096,-33.513968707725816,-39.046415087347974
I_full_without_volume,-50.19059559681153,-18.415986822645024,-32.15972815210285,-31.49642777224314,-27.64109211317377
J_full_tp_2R,-53.5562588905734,-19.464481670905897,-35.56102062973967,-33.41478194481413,-26.119557001503445
K_full_tp_1_5R,-56.66690064869777,-21.254973827064884,-38.66598432361843,-34.77588474289226,-27.68254913330783
L_full_wider_stop,-29.063179284963926,-0.0754713779318128,-19.106543885651096,-13.424974907882659,-17.445693252655637
M_trend_btc_tp_2R,-82.65514948793374,-44.164644863168604,-64.39497930615588,-48.678466234693865,-53.19428089578116
N_full_ema50_exit,-32.39985247566456,-3.3881831596347056,-23.16069646831632,-19.265042892645855,-11.31376782099347
O_full_ema200_exit,-23.71497998641292,-1.8853341719664796,-5.884319764957969,-8.954833161243537,62.39562370640994
P_full_atr_trailing,-28.902325537519236,-6.014619509768471,-18.057292420811176,-23.718894646669508,-7.299162376205981
Q_trend_btc_atr_trailing,-55.39886784883574,-12.056016923944613,-35.41728335079315,-25.262921359942226,-20.883906578045874
R_full_donchian_low_exit,-23.392085691443963,-2.4201272119660833,-13.214268253379435,-14.925935742591667,25.93268687399808
S_trend_btc_donchian_low_exit,-42.219713536005635,2.155107584494842,-19.999954599232627,-4.090641944507556,3.863116865715255
T_low_vol_trend_ema200_exit,-36.571159288797936,-12.729728753762593,-25.55853465675737,-18.76894275955826,1.3170233104587092
U_trend_only_ema200_exit,-62.61487274751756,-15.715546536835557,-36.10267016620927,-20.842116192205495,-30.10011051347027
V_pullback_reclaim_ema200_exit,-27.675816759915783,-9.811201579504104,-16.050756240508324,-13.697895783306812,-27.76199853280096
W_ema50_breakout_ema200_exit,-42.655340923558285,-31.789274686612313,-48.80453400987646,-14.792840665430006,-18.005310743830528
